ratio: 内存被购买比例
ram_price: 内存价格，单位：EOS/KB
eos_balance: eosio.ram 账户余额
ram_bought: 被购买的内存数量，单位：字节

ratio	ram_price	eos_balance	ram_bought
97.37%	21.7872	37022812	66912154495
97.36%	21.7872	36878786	66905282548
97.35%	21.3333	36735847	66898410600
97.34%	21.3333	36593983	66891538652
97.33%	21.3333	36453182	66884666705
97.32%	20.8980	36313431	66877794757
97.31%	20.8980	36174719	66870922809
97.30%	20.4800	36037035	66864050861
97.29%	20.4800	35900367	66857178914
97.28%	20.4800	35764704	66850306966
97.27%	20.0784	35630035	66843435018
97.26%	20.0784	35496348	66836563071
97.25%	20.0784	35363634	66829691123
97.24%	19.6923	35231882	66822819175
97.23%	19.6923	35101081	66815947228
97.22%	19.3208	34971221	66809075280
97.21%	19.3208	34842292	66802203332
97.20%	19.3208	34714284	66795331385
97.19%	18.9630	34587187	66788459437
97.18%	18.9630	34460991	66781587489
97.17%	18.9630	34335687	66774715542
97.16%	18.6182	34211266	66767843594
97.15%	18.6182	34087717	66760971646
97.14%	18.2857	33965033	66754099699
97.13%	18.2857	33843204	66747227751
97.12%	18.2857	33722220	66740355803
97.11%	17.9649	33602074	66733483856
97.10%	17.9649	33482757	66726611908
97.09%	17.6552	33364259	66719739960
97.08%	17.6552	33246573	66712868013
97.07%	17.6552	33129691	66705996065
97.06%	17.3559	33013603	66699124117
97.05%	17.3559	32898303	66692252170
97.04%	17.0667	32783782	66685380222
97.03%	17.0667	32670032	66678508274
97.02%	17.0667	32557045	66671636327
97.01%	16.7869	32444814	66664764379
97.00%	16.7869	32333331	66657892431
96.99%	16.5161	32222589	66651020484
96.98%	16.5161	32112581	66644148536
96.97%	16.2540	32003298	66637276588
96.96%	16.2540	31894735	66630404641
96.95%	16.2540	31786883	66623532693
96.94%	16.0000	31679736	66616660745
96.93%	16.0000	31573288	66609788798
96.92%	15.7538	31467530	66602916850
96.91%	15.7538	31362457	66596044902
96.90%	15.7538	31258062	66589172955
96.89%	15.5152	31154339	66582301007
96.88%	15.5152	31051280	66575429059
96.87%	15.2836	30948880	66568557112
96.86%	15.2836	30847131	66561685164
96.85%	15.0588	30746029	66554813216
96.84%	15.0588	30645567	66547941269
96.83%	14.8406	30545739	66541069321
96.82%	14.8406	30446539	66534197373
96.81%	14.8406	30347960	66527325425
96.80%	14.6286	30249998	66520453478
96.79%	14.6286	30152646	66513581530
96.78%	14.4225	30055898	66506709582
96.77%	14.4225	29959750	66499837635
96.76%	14.2222	29864195	66492965687
96.75%	14.2222	29769228	66486093739
96.74%	14.2222	29674844	66479221792
96.73%	14.0274	29581037	66472349844
96.72%	14.0274	29487802	66465477896
96.71%	13.8378	29395134	66458605949
96.70%	13.8378	29303028	66451734001
96.69%	13.6533	29211478	66444862053
96.68%	13.6533	29120480	66437990106
96.67%	13.4737	29030028	66431118158
96.66%	13.4737	28940117	66424246210
96.65%	13.2987	28850744	66417374263
96.64%	13.2987	28761902	66410502315
96.63%	13.2987	28673588	66403630367
96.62%	13.1282	28585796	66396758420
96.61%	13.1282	28498523	66389886472
96.60%	12.9620	28411762	66383014524
96.59%	12.9620	28325511	66376142577
96.58%	12.8000	28239764	66369270629
96.57%	12.8000	28154516	66362398681
96.56%	12.6420	28069765	66355526734
96.55%	12.6420	27985505	66348654786
96.54%	12.4878	27901732	66341782838
96.53%	12.4878	27818441	66334910891
96.52%	12.3373	27735630	66328038943
96.51%	12.3373	27653293	66321166995
96.50%	12.1905	27571426	66314295048
96.49%	12.1905	27490026	66307423100
96.48%	12.0471	27409088	66300551152
96.47%	12.0471	27328609	66293679205
96.46%	11.9070	27248585	66286807257
96.45%	11.9070	27169011	66279935309
96.44%	11.7701	27089885	66273063362
96.43%	11.7701	27011202	66266191414
96.42%	11.6364	26932958	66259319466
96.41%	11.6364	26855151	66252447519
96.40%	11.5056	26777775	66245575571
96.39%	11.5056	26700828	66238703623
96.38%	11.3778	26624307	66231831676
96.37%	11.3778	26548207	66224959728
96.36%	11.2527	26472525	66218087780
96.35%	11.2527	26397258	66211215832
96.34%	11.1304	26322402	66204343885
